51|||夜来香属于哪个纲的植物|||双子叶植物纲(magnoliopsida)，又称木兰纲。
52|||亚历山大一世是哪一天去世的|||前323年6月10日
53|||李明是什么族的人|||汉族
54|||吉字拼音怎样拼|||ji zi
55|||富兰克林县英文怎样说|||franklin county, maine
56|||香橼的拉丁学名怎样说|||citrus medic l.
57|||花园村属于什么行政区类别|||乡村
58|||辣子鸡属于八大菜系中的哪一种|||湘菜，辣菜
59|||圆锥花序组是什么属的植物才有的特点|||石头花属gypsophila
60|||打乒乓球的王皓有多高|||179cm
61|||魔法少女奈叶都在什么地区播出|||日本 香港 台湾
62|||秋日是什么朝代创作的|||唐朝
63|||哈姆雷特是谁导演的|||米歇尔·阿米瑞亚德
64|||李派唱腔的特点是什么|||文戏唱腔韵味清醇，武戏武功精湛
65|||江陵之战是哪一年爆发的|||219年
66|||蜢科又叫什么|||虻科
67|||哺乳动物属于什么界|||动物界animalia
68|||农历三月三是个什么节日|||上巳节
69|||李明在哪里出生的|||江苏常熟
70|||关山月属于什么体裁|||诗歌
71|||长柄船蛆属于什么纲|||双壳纲
72|||金手指是被子植物还是裸子植物|||被子植物
73|||大花组是什么科的植物|||石竹科 caryophyllaceae [cronquist系统]
74|||哈姆雷特是哪个国家的电影|||美国
75|||费尔南多是什么项目的运动员|||足球队员
76|||比较好的福尔摩斯探案全集译者是谁|||朱莉莉
77|||打网球的李娜体重有多少|||65kg
78|||大花组属于哪个目|||石竹目 caryophyllales [cronquist系统]
79|||《犯罪学》是谁写的|||曹立群 任昕
80|||逸夫小学是九几年创办的|||1996年
81|||影片哈姆雷特的主演是谁|||伊桑·霍克，凯尔·麦克拉克伦，比尔·默瑞，列维·施瑞博尔，山姆·夏普德，朱丽娅·斯蒂尔斯
82|||王辉是哪个学校毕业的|||华师大本科
83|||霸气一词最早出现在哪里|||《江宁吴少府宅饯宴序》
84|||做辣子鸡需要准备什么食材|||公鸡，糍粑辣椒，花椒，姜，大葱，大蒜，盐，酱油，味精，料酒，菜籽油
85|||文庙面积有多大|||6647.95平方米
86|||《兄弟》是哪个国家拍的|||中文
87|||值得珍藏的《红楼梦》全本有哪个出版社出版的|||吉林文史出版社
88|||《心理学与生活》这本书的副标题是什么|||教育部心理指导委员会推荐用书
89|||阿尔法这个游戏有多大|||114.92mb
90|||大花组属于哪个属的植物|||蝇子草属 silene
91|||城隍庙地理位置在哪|||金华市区明月巷
92|||哈姆雷特在美国是什么时候上映的|||usa 2000年1月24日
93|||一本大学是什么类型的书|||985工程 211工程
94|||《犯罪学》这本书的出版时间是什么时候|||2008年3月
95|||神雕侠侣是什么语的电视剧|||华语
96|||《因为我爱你》是怎样装帧的|||平装
97|||城关镇在哪个省哪个市|||中国 湖南省
98|||大花组的植物主要分布在我国哪里|||我国主要分布在辽宁、新疆等地。
99|||边境牧羊犬是什么犬种|||灰狼
100|||玫瑰主要生长在我国那些地区|||江苏、浙江、福建、山东、四川等地
101|||《礼物》的发行时间是什么时候|||2010年12月
102|||新的那部神雕侠侣的编剧是谁|||于正
103|||历史上萧皇后本名叫什么|||萧皇后
104|||重庆辣子鸡是什么口味的菜|||辣、开胃
105|||万达广场在哪|||佛山市南海区桂城桂澜路东侧
106|||《犯罪学》的isbn码是什么|||9.7873e+12
107|||大花组植物我国有哪几种|||我国产2种1亚种。
108|||我想做棒棒糖蛋糕，需要哪些原料|||法国奶油 法国果茸 法国番石榴浆
109|||城关镇的电话区号是什么|||854
110|||新发村的海拔很高吗，有多少米|||1700.00米
111|||离殇是什么意思|||.离别，逝去（
112|||有人买过《犯罪学》吗，多少钱|||￥38.00
113|||画家何伟的代表作有哪些|||《静物》、《西递村》入选全国建筑美术家作品展；1993年油画《秋之语》入选上海93油画展；1994年作品《花卉》、《窗》入选中国浦东首届中华艺术博览会；1995年作品《残阳》
114|||《幽灵船》是多少开的书|||32开
115|||什么叫红米手机|||小米红米手机
116|||哈姆雷特的对白原音是什么语的|||英语
117|||自热米饭是不是含防腐剂|||否
118|||张凯有一个绰号叫什么|||幽灵
119|||花衣的注音|||ㄏㄨㄚ ㄧ
120|||小时候这首歌原唱是谁|||南拳妈妈
121|||橡树湾的开发商是哪家|||华润置地（上海）有限公司
122|||东北大学的简称是什么|||nu
123|||鑫威kw9000es是个什么产品|||ipsan/nas一体化存储
124|||有没有城关镇的同志啊，你们那的人口有多少|||7.1万人（2008年）
125|||《犯罪学》一共有多少页|||268
126|||城关镇的面积有多大|||44.41平方公里
127|||有没有认识刘丹的，请问一下她有多高|||166cm
128|||哈姆雷特片长多少|||112分钟
129|||古文中罗罗怎样理解|||1. 疏朗放诞。
130|||陈佳是什么星座的|||天蝎
131|||福特野马车是什么牌子的|||福特ford
132|||东区的人口密度大概是多少|||2,300/平方公里（5,900/平方英里）
133|||干酪菌属属于什么亚纲|||同担子菌亚纲
134|||黑大咽齿鲷的英文名怎样说|||negros wrasse
135|||王玲的信阳是什么|||中共党员
136|||嘿咻的拼音怎样写|||hei xiu
137|||张敏老家是哪的|||河北武安
138|||大花组的二名法是什么|||silene sect. elisanthe (fenzl) chater et walter
139|||斯普林菲尔德时间是按那个时区算的|||美国东部标准时间（utc-5）
140|||山羊是属于哪个亚纲的|||真兽亚纲
141|||郑州驱逐舰型号是什么有人|||国产052c型
142|||历史上的刘瑜是哪个年代的人|||金
143|||腬这个字是什么意思|||优质肉。  肥美。 盛。 面色和柔的样子。
144|||《红楼梦》的导演是哪位|||胡雪扬
145|||海德公园附近的楼盘叫什么名字|||海德公园
146|||文庙在哪个地方|||湖南省新田县县城龙泉镇立新街
147|||安乐村地理位置是在哪里|||云南省保山市隆阳区瓦窑镇
148|||新安镇属于什么行政区|||乡镇
149|||《红楼梦》在哪里上映|||中国大陆
150|||我爱你这首歌属于哪张专辑的|||ep单曲
151|||万达广场的面积有多大|||53万平方米
152|||电影《哈姆雷特》是哪年出品的|||2000年
153|||城关镇的位置在哪里|||西邻京广铁路、107国道、京珠高速，北邻汤濮铁路、鹤濮高速，安长公路穿境而过。
154|||月光是谁做的曲|||黄戚尔
155|||游戏仙魔变最新版大小是多少|||1479610k
156|||笑傲江湖是什么语种的电视剧|||粤语、普通话
157|||城关镇的上级行政区是什么|||忻城县
158|||《红楼梦》的主演都有谁|||钱惠丽；单仰萍；陈颖；方亚芬
159|||《红楼梦》是什么时候上映的|||2005年
160|||红楼梦的出品公司是哪家|||中影集团、荣信达、华录百纳
161|||文庙里比较有名的经典是什么|||大成殿
162|||卢卡斯是哪支球队的|||开拓者
163|||丹特丽安的书架日文原名叫什么|||ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）
164|||阿灵顿是什么时区的|||edt（utc-4）
165|||张薇政治面貌是党员还是共青团员|||中共党员
166|||城关镇的行政区划代码是什么|||451321100
167|||有去过城关镇的吗，哪里是什么样的气候|||亚热带季风气候
168|||王杰是哪年哪月出生的|||1963年5月
169|||古代那个陈平是什么时候死的|||公元前178年
170|||《要听爸爸的话！》是什么类型的丛书|||jump comics sq. ching win boy comic
171|||《光荣之路》是彩色的还是黑白的|||彩色
172|||呃我想请教一下黑叶猴的英文是怎样说的|||françois’s langur
173|||城关镇下属的村有多少个|||24
174|||政府贴息贷款有什么作用|||可以扩大援助规模
175|||小米手机4屏幕是多大的|||5英寸ips屏
176|||刘军是那个党派的|||共产党
177|||有没有玩过怪物猎人的，这个游戏都可以在哪些平台上玩|||家用机：ps2、wii、ps3、wii u 掌机：psp、3ds
178|||城关镇有几个社区|||3
179|||城关镇包括多少个村|||21
180|||城关镇的经纬度是多少|||24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e坐标：24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e
181|||粉我吧公司的员工口号是什么|||do it by yourself!
182|||哈姆雷特是彩色的还是黑白的|||黑白
183|||有一首歌叫我爱你，这是什么语言的歌曲|||国语
184|||魅族有多少员工|||2000余人（2010年）
185|||林肯县的官方网站是什么|||www.co.lincoln.wy.us
186|||新版神雕侠侣一共有多少集|||40集
187|||陈谦的字是什么|||字八桂
188|||植物大神们，海棠是属于哪个亚科的|||苹果亚科
189|||思诺思的学名叫什么|||酒石酸唑吡坦片
190|||万科金域蓝湾是商业建筑还是民用住宅|||住宅
191|||体育粉们，我想问一下李娜主要获得过哪些奖项|||2011法网女单冠军 2014澳网女单冠军 wta单打冠军头衔：9
192|||纳斯达克是什么时候创建的|||1971
193|||孙悟空在那部轩辕剑作品中出现过|||《轩辕剑叁外传：天之痕》
194|||天龙八部还有什么其他名字|||新天龙八部
195|||奥埃尔巴赫的邮编是什么|||5222
196|||孙悟空还有什么其他名字|||卡卡罗特、格古洛
197|||修正再购这个词是什么意思|||生产者市场的用户为了更好地完成
198|||杨俊来自于哪个国家|||中国
199|||斯普林菲尔德是哪个州的|||马萨诸塞州
200|||我想做鉴真素鸭这道菜，都需要什么辅料|||素蚝油、糖、盐、葱花、香油
201|||《毛泽东》这本书还叫什么|||毛泽东革命者与建设者
202|||辣条适合什么人吃|||儿童
203|||谁能给我介绍一下钻石画，真的是用钻石做的|||树脂钻
204|||天宁寺的编号是什么|||第三批，编号不详
205|||白雅湖岛是几星级的酒店|||★★★
206|||杨洋粉们，杨洋是什么血型的|||o型
207|||王宪是什么时候出生的|||1921年9月
208|||over the rainbow是属于什么风格的音乐|||华语流行音乐
209|||鞭打快牛这个词语怎样用|||作宾语、定语；指赏罚不公
210|||轩辕剑游戏发行商是哪家|||大宇资讯
211|||哺乳动物是属于什么亚门的|||脊椎动物亚门vertebrata
212|||李皇后是什么时候死的|||1004年
213|||山羊是哪个亚门的动物|||脊椎动物亚门
214|||岳阳市人民政府关于整治市中心城区沿湖砂石散货客运码头的通告是要干什么用的|||提升城市品位
215|||新房子村属于哪个区有没有知道的|||半山区
216|||城关镇的邮编是什么|||558200
217|||城关镇下面有几个村|||15个村
218|||电影《哈姆雷特》有多长时间|||130分钟
219|||各持己见是什么结构的词语|||动宾式
220|||有认识徐坚的吗，他是做什么的|||研究员，博士
221|||梅花落作者是谁|||鲍照
222|||邪恶漫画是属于哪个系列的漫画|||卡列漫画
223|||城关镇有什么特产|||瓜类、蔬菜
224|||矿物油都能够用来做什么有人懂这方面|||润滑油，
225|||天宁寺是什么朝代修建的|||明代
226|||圆锥花序组属于什么族的|||石竹族trib. diantheae
227|||大花组属于哪一个亚科|||石竹亚科 subfam. caryophylloideae
228|||公元432年是什么意思|||是中国历史上的壬申年，在中国
229|||有人会做河豚肉炒白菜吗，需要什么调料|||适量盐，适量干红椒
230|||温泉镇使用什么方言|||官话
231|||还有人记得ngc是什么时候上市的|||日本：2001年9月14日[1]
232|||河南村耕地面积有多大|||8750亩
233|||模拟人生是什么时候发行的|||2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）
234|||生物大神们，深渊蛙学名叫什么|||十字蝌蚪
235|||室内软装饰是什么语种的书|||英语、简体中文
236|||科姆潘是什么位置的球员|||:前锋
237|||城关镇有哪些有名的产业|||铁矿、重晶石、石灰石、粘土矿等金属非金属矿类
238|||罗红霉素分散片是什么类型的药|||工伤医保乙类双跨
239|||车前薏米粥需要哪些配料|||水
240|||有一家叫彻思叔叔店全名叫什么|||彻思叔叔烘焙工坊
241|||博略属于哪个省|||卡尔瓦多斯省
242|||有没有人知道伦敦大学学院的校训|||cuncti adsint meritaeque expectent praemia palmae (让所有因其价值应得奖赏的人都来吧)
243|||征服网络评分是多少|||9
244|||夜不成寐最初出处是哪里|||《夷坚志·乙志卷八·虔州城楼》
245|||电视广播有限公司的生日是哪一天|||1967年11月19日 （47岁60天，香港九龙广播道）
246|||李洋是什么星座的|||双鱼座
247|||月光这首歌是谁编的曲|||洪信杰
248|||求问城关镇的车牌代码|||贵j
249|||博士来拜是什么年代的作品|||1461年
250|||秦时明月是什么类型的游戏，玩过的请回答|||网页游戏
251|||毁灭都市是啥时候上映的|||2013年8月
252|||求问中山大学的现任校长是谁|||罗俊[2]
253|||麻烦你告诉我一下黄山途欢快捷酒店具体地址|||黄山风景区汤口镇逍遥水街8号楼
254|||believe是哪个唱片公司发行的|||universal
255|||圣地亚哥英文名怎么拼|||saint jakob
256|||朱江的学历是|||本科
257|||杭州圆正艮秋宾馆一共有多少个房间|||76间/套
258|||热血兄弟可以选择语言|||英文，日语，韩语
259|||周永康的个人资料有人知道吗，请告诉我一下|||1942年12月（72岁） 中华民国汪精卫政权江苏省无锡县 周元根
260|||蝴蝶是哪里产的|||韩国
261|||有一个楼盘叫万科金域蓝湾，有人知道具体位置在哪里|||长沙市芙蓉区营盘东路与浏阳河风光带交界处
262|||工厂食堂面是面向什么对象|||巴比
263|||电视剧《红楼梦》的编剧还有人记得|||徐进
264|||山羊属于什么亚目的|||反刍亚目
265|||小红参还叫做什么|||三叶鼠尾草、紫丹参、小红丹参（云南丽江）、
266|||我想请问一下影片灰姑娘是哪个公司发行的|||华特·迪士尼
267|||薪酬管理这本书一共印刷了几版|||4
268|||李明啊，他的职称是什么|||管理学博士，教授
269|||银行垫款的本质是什么|||被迫以自有资金代为支付的行为
270|||高田ic在哪里|||〒929-2111 石川县七尾市高田町 37°3′23.69″n 136°53′45.99″e / 37.0565806°n 136.8961083°e
271|||七大杀人武器都有什么内容|||要听话”用来杀自由
272|||韩熙载夜宴图的尺寸是多大的|||宽28.7厘米，长335.5厘米
273|||西北大学是什么类型的大学|||综合性全国重点大学
274|||城关镇政府在哪个地区|||咀台村
275|||移动金融领先银行的作用是啥|||银行卡完整地空中植入手机sim卡
276|||杨洋签了哪家经纪公司|||天娱传媒
277|||傀儡师最初是从哪出来的|||话剧表演
278|||中国棒球联赛的主办单位是什么|||国家体育总局手曲棒垒运管中心
279|||书剑恩仇录的制片是谁|||王鹏举、尹廉和、区志仁
280|||李明的出生年月|||1946年11月
281|||我们这首歌一共持续多长时间|||04：02
282|||橡树湾的绿化率大概有多少|||30%
283|||有个问题想请教一下，大花组属于哪个族|||蝇子草族 trib. sileneae
284|||赤壁出自于哪里|||《列朝诗集》
285|||鲁迅的朝花夕拾全书共多少字|||100千字
286|||藤制家具有什么优势|||藤制家具透气性强、手感清爽
287|||财富广场属于哪个地区|||即墨市
288|||学化学的来，泼尼松龙的分子量是|||360.44
289|||迈克尔·杰克逊是什么时候去世的|||2009年6月25日（50岁） 美国加利福尼亚州洛杉矶市荷尔贝山
290|||有没有人知道丽纳尔斯咖啡馆啥时候营业|||09:00-00:00
291|||金恒生eb8300的内存是多大的|||128mb
292|||ultraviolet by paul pairet的人均价多少|||5000
293|||学生物的来，极乐吻鰕虎属于哪个亚目|||鰕虎亚目 gobioidei
294|||三圣寺原名叫什么|||三义庙
295|||李派的创始人叫啥|||李少春
296|||莡这个字的笔画有多少|||7划
297|||kindle有多重|||190g
298|||中山路有什么样的地位|||屏东县枋寮乡的南北向主要道路
299|||城关镇下辖多少个社区居委会和村委会|||辖9个社区居委会，9个村委会
300|||定语一般是什么词|||名词
301|||宕怪星是啥时候被人们发现的|||may 24, 1873
302|||寒神星是什么时候被观测到的|||1862年11月12
303|||文庙还被称为什么|||岳州学宫
304|||双江镇在哪个国家|||中国
305|||有人认识刘平吗，他是那个民族的|||汉族
306|||极速冲浪在哪个游戏网站可以找到|||806k
307|||昆腾scalar i80(lsc18-ch4g-132h)的存储容量有多少|||40000gb
308|||地球的离心率是多少|||0.016710219
309|||浸酸皮是什么样的|||浸酸后的裸皮白净
310|||有没有人知道地球的轨道倾角是多少|||0（7.25°至太阳赤道）
311|||苍蝇的蝇是啥偏旁部首|||虫部外笔画
312|||莲子杏仁银耳粥的主要食材有啥|||银耳
313|||白驹过隙应该怎样用，举个例子说明一下|||《罗贯中·三国演义·第一零七回》：“维曰：‘人生如白驹过隙，似此迁延岁月，何日恢复中原乎？’”
314|||海妖星的升交点黄经是多少|||125.637°
315|||海妖星的近日点在哪|||195.436°
316|||戏调一词出自于哪个文学作品里|||《宋书·沉怀文传》
317|||羧甲基纤维素钠的分子式是啥呀，有人|||c8h16nao8
318|||孙悟空年龄有多大|||12-46岁
319|||城隍庙啥时候建立的|||公元1064年
320|||路透社是一家什么样的公司|||上市公司
321|||warkey软件有多大|||927kb
322|||城东社区是啥时候成立的|||2006年8月
323|||李家村吗，那里年平均气温是多少|||13.5 ℃
324|||山西大学一共有多少学生|||6000
325|||白云山地区是什么型的气候|||中亚热带海洋性季风气候
326|||万达广场是什么时候开业的|||2014年12月6日
327|||国家级成都高新技术产业开发区又被成为什么|||成都高新区（南区、西区）
328|||燕麦片含有什么成分|||beta葡聚糖，低密度脂肪蛋白，丰富的维生素，钙、磷、铁、锌、锰等矿物质
329|||茶花女在哪里拍摄的|||波兰
330|||上海市亭林中学有多少老师|||91人（2014）
331|||ipad是什么操作系统的|||ios
332|||克里斯蒂安·塔纳塞惯用脚是左脚还是右脚|||右脚
333|||nachi 7320c/db 轴承内径尺寸是多少|||100.0000mm
334|||matahariku的发行时间是什么时候|||2009
335|||阿尔贝托·吉拉迪诺的球衣是几号|||11
336|||阿尔忒弥斯属于什么族|||奥林匹斯神族
337|||宕怪星在小行星分类中是什么类|||main belt
338|||博士来拜是什么尺寸的|||246 x 243 厘米
339|||行政自由裁量论的条码是什么，有人|||9.78781e+12
340|||民主党前身是什么|||1792年建立的民主共和党
341|||南山站属于哪个公司|||朝鲜总督府铁道局
342|||孙悦的血型是a还是b|||b型
343|||大庄严论经是什么年代的作品|||晋朝
344|||人民公园占地面积有多少|||50000平方米
345|||使命召唤：现代战争3多少人可以玩|||单人多人都可以
346|||城关镇的面积有多大|||7 5．1平方公里
347|||天枢的赤经是多少|||11h 03m 43.70s
348|||谁能告诉我奥帝泊有什么组成|||object；
349|||会说话泰迪熊版本号是什么|||1.0.0.0
350|||学汉语言的，我想请问一下隶变有什么重要意义|||汉字发展史上的一个里程碑
351|||北京大学艺术学系的办学宗旨什么|||美育列为国民教育
352|||有没有人知道360极速浏览器都有什么语言的版本|||简体中文，英语
353|||facebook是一个什么样的网站|||社交网站
354|||时尚造型屋这个游戏目标是什么|||经营时尚造型屋
355|||巨蟹座的赤纬是什么|||20
356|||城关镇有火车站吗，是什么站|||独山站
357|||广东朝野科技有限公司获得过什么荣誉称号|||aaa级中国质量信用企业
358|||华纳我爱经典系列收录了哪些歌手的歌|||杜丽莎
359|||使命召唤：现代战争3游戏的画面怎么样|||好
360|||长乐公主是什么朝代的人|||西魏
361|||橡树湾小区的物业管理是包给了哪家公司|||华润置地（福州）物业服务有限公司
362|||三星rv411-s0d用的cpu是什么型号的|||intel 酷睿i5 480m
363|||三合乡属于哪个市|||黑龙江省林甸县
364|||伦贝格有多少人|||3,901
365|||长沙站是哪年建成的|||老站1912年；新站1977年
366|||我想请问一下天宁寺在哪个地区|||市内
367|||南京工业大学浦江学院的邮编是多少|||211816
368|||管理学这本书是哪个出版社出版的|||经济管理出版社
369|||失乐园的出版时间是什么时候|||2006-10
370|||东湖是什么时候开放|||08:00-17:00
371|||橡树湾的容积率大概有多少|||1.7
372|||美团网的年营业额有多少|||160亿元（2013年）[3]
373|||首尔大学有哪些院系|||人文类、工学类、艺术类等
374|||孙悟空的配音都有谁|||野泽雅子（日本） 王晓燕、刘艺（中国大陆） 卢素娟、林国雄、谢洁贞（中国香港） 贺世芳、赵明哲、于正升、于正昌、张文仪、李景唐（中国台湾）
375|||晋青椒4号的审定编号是多少|||晋审菜（认）2011008
376|||玄武是什么身份|||天秤座黄金圣斗士
377|||卧龙山在哪里|||中国 四川绵阳市梓潼县卧龙镇境内
378|||天龙八部每集有多少分钟|||45分钟
379|||天宁寺是什么时候建成的|||1993年7月15日
380|||《霍元甲》由哪个公司制作的|||天津津源影视有限公司，华夏视听环球传媒有限公司，东阳环宇影视文化传媒有限公司，
381|||索尼kdl-32w650a的定位是什么|||全高清电视
382|||慈云寺是什么时候修建的|||唐代
383|||比亚迪的总部在哪里|||深圳市坪山区比亚迪路3009号
384|||能给我简要介绍一下《神雕侠侣》|||由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。
385|||橡树湾在那个城区|||仓山
386|||巴夏诺隶属于什么省|||拉蒂纳省
387|||麻烦你给我介绍一下《红楼梦》好|||中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本
388|||韭葱马铃薯奶油汤需要什么食材|||橄榄油1匙
389|||american eagle是什么产品的牌子|||男女士服装等
390|||《犯罪学》全书一共多少个字|||471000
391|||微波五彩茄子需要什么食材|||紫色长茄2个，香菜2棵，
392|||机动战士敢达 seed astray的名称是什么|||机动战士敢达 seed astray
393|||辣条有什么副作用|||高血压、腹泻
394|||制霉素片的用途有哪些分类|||抗生素类
395|||曲可伸是否为处方药|||处方药
396|||w酒店属于哪种酒店类型|||酒店[1]
397|||李尔王属于什么级别|||finland:s
398|||intel 酷睿i7-3770cpu主频是多少|||3.4ghz最大睿频3.9ghz
399|||古巨基的配偶叫什么|||陈英雪
400|||西方法律哲学家研究年刊2008是哪种平装|||535页正文语种
401|||ctx-生物导融技术有什么功效|||提高机体免疫标本兼治
402|||tcp/ip详解卷1：协议（英文版·第2版）的原名是什么|||tcp/ip illustrated, volume 1 the protocols, second edition
403|||巴斯克维尔的猎犬属于什么类型|||犯罪，恐怖，悬疑
404|||萨博的生日是什么时候|||1987-02-26
405|||2001年特拉万卡有多少人|||248
406|||《华山论剑》在哪个平台上|||pc pc pc
407|||柱七的光谱分类是什么|||b5iab
408|||柱七的视星等（v）是什么|||4.744
409|||金黄甘薯脯是利用什么工艺做的|||煮
410|||沙漠旋转工地有多难|||4星级
411|||温泉镇有个什么机场|||威海国际机场
412|||红的制作人是谁|||和平之月
413|||黔城人才网网站的名称是什么|||黔城人才网
414|||tr的全称是什么|||terres reres
415|||卢卡斯有什么专业特点|||前锋，助理教练
416|||月季花二名法是什么|||rosa chinensis jacquem.
417|||和平路多长|||约1.6公里
418|||堇青石是什么颜色的|||浅至深的蓝，紫，无色、黄的白
419|||博略是什么区|||vire
420|||华硕eahg4670酷翼版的芯片厂商是哪里|||atin
421|||王军出生在哪里|||中国天津
422|||奥康集团有限公司在哪里成立的|||浙江
423|||武定宇的职务是什么|||北京联合大学艺术设计系讲师
424|||西游记是什么时候首播的|||2010年1月3日
425|||九龙珀丽酒店周围有哪些景观|||香港理工大学、维多利亚港
426|||柱七的b−v 色指数是多少|||0.34
427|||莫亚自治区是哪里|||加那利群岛
428|||htc是什么样的组织形式|||股份制
429|||mx视频播放器的分辨率是多少|||320x480 480x800 480x854
430|||柱七的u−b 色指数是多少|||-0.46
431|||新桥镇有什么特色|||最具活力的经济区域—上海
432|||业个怎么读|||yē ge
433|||大熊座47c多长时间一个周期|||6地球年
434|||茶花女的imdb编码是多少|||tt0109527
435|||卡贝的主要作品有哪些|||《世界语原文小词典》
436|||龙泉镇建立的时间是什么时候|||公元700年
437|||黑色食品的主要食用功效有哪些|||清除自由基，延缓衰老，改善营养性贫血
438|||是谁监制了射雕英雄传|||王天林
439|||小米手机3是什么时候发布的|||2013-09-05
440|||海王星距太阳最近有多远|||4,452,940,833km
441|||fantasy的专辑语言是哪种|||日语
442|||海王星距太阳最远有多远|||4,553,946,490km
443|||2008年诺基亚有多少员工|||128,445（2008年底）
444|||五诸侯一的 r−i 色指数是什么|||[1][2]
445|||微星k8t neo2-f主芯片组是什么样的|||via k8t800pro
446|||地球半长轴的长度|||149,597,887.5km
447|||博略的大区是什么|||下诺曼底
448|||大河边村的国土面积多大|||6.53平方公里
449|||七彩龙虾有什么特征|||身体呈青绿色
450|||小行星615发现地是哪里|||海德堡
451|||微分销的软件名称是什么|||v5shop微信分销系统
452|||曲可伸是如何服用的|||口服。
453|||游敏是什么时候出生的|||1958年7月
454|||恒大金碧天下有哪些建筑形式|||联排 独栋 双拼
455|||文庙属于什么景点级别|||河北省重点文物保护单位
456|||华优86的选育单位是哪里|||华南农业大学农学系
457|||絮勒什·马加什是什么政党的人|||匈牙利劳动人民党
458|||大手町站离高滨多远|||8.5km（起点站：高滨）
459|||中国农业银行有哪些产品服务|||商业银行、投行、保险和基金等
460|||怪医黑杰克是由哪些组织制作的|||朝日电视台、松竹、加山兴行会社
461|||2009年巴夏诺有多少人|||1,662
462|||微软游戏工作室产品包括什么|||xbox（包括xbox360与xboxone）
463|||中华人民共和国最高人民法院刑事审判第一庭有什么职责|||处理相关的死刑喊冤案件
464|||pny 8800u 显卡芯片是什么样的|||geforce 8800 ultra
465|||中国人民解放军空军航空医学研究所附属医院属于什么等级|||三级甲等[2]
466|||截拳道创立于什么时候|||1967年5月
467|||城关镇有什么著名景点|||悬鼓观 黄山公园
468|||北京军区政治部战友文工团的代表作有什么|||《郝家村的故事》
469|||亚马逊中国属什么网站类型|||b2c电子商务网站
470|||向阳村隶属于哪里|||白水镇中心村委会行政村
471|||华夏银行注册资本是多少|||68亿元
472|||吴山的字是什么|||岩子
473|||中国十大瀑布包括哪些|||贵州黄果树瀑布
